doc_content,doc_title,doc_section,doc_chapter,content_root1,content_root2,content_root3,content_root4,content_root5,content_root6,doc_index,doc_order
" The following terms are defined for general use in this Code, Specialized definitions appear individual chapters. Admicture-MMterial other than water, aggregate, or hydraulic cement, used as an ingredient ofconcrete and added to concrete before or during its mixing to modify its properties. Aggregate Granular material, such as sand, gravel, crushed stone, and iron blast-furnace slag, used with a. cementing medium to form a hydraulic-cement concrete or mortar. Anchorage In post-tensioning, a device used to anchor tendon toconcrete member; in pretensioning,a device used to anchor tendon during hardening of concrete; as used in Appendix B, a means by which force is transferred to the concrete. Bonded tendon- Prestressing tendon thatis bonded to concrete either directly or through grouting. Cementitious material- -Materialsasspecified in Chapter3 thathave cementing value whenused in concrete orby themselves, such as portland or blended hydraulic cements, or in combinationwithflyash and/or raw or calcined natural pozzolans. Column. Member with a ratio ofheight-to-1east-lateral dimension of3 or greater used primarily tosupportaxial compressive load. Composite concrete flexural members Concrete flexural members of precast and/or cast-in-place concrete elements constructed in separate placements but so interconnected thatall elements respond to loads asaunit. ConcreteMixture ofportland cement or anyother hydraulic cement, fineaggregate, coarse aggregate, and water, with or without admixtures. Concrete, specified compressive strength of, (f') Compressive strength ofconcrete used indesign and evaluated in accordance with provisions of Chapter 4, expressed in pounds per square inch (psi). Whenever the quantityf: is under a radical sign, square root of numerical value only is intended, andresulthasunitsofpounds persquareinch (psi). Creep Stress-induced, time-temperaturedependent strain. Curvaturefriction Friction resulting from bendsor curves in the specified prestressing tendon profile. Deformed reinforcement- Deformed reinforcing bars, bar androd mats, deformed wire, welded smooth wire fabric, and welded deformed wire fabric conforming to3.5.3 Development length -Length of embedded reinforcement required todevelop the design strength ofreinforcement ata critical section. See 9.3.3 Effective depthofsection (d) Distance measured from extreme compression fiber tocentroid oftension reinforcement. Effective prestress- Stress remaining in prestressing tendons after all losses have occurredexcludingeffects ofdead load and superimposed load. Embedment- Structural component typically cast into a concrete structure, that translates applied forces and moments from attached equipment and other sources into the structure. Embedment length Length of embedded reinforcement provided beyond a critical section. EngineerThe licensed professional engineer, employed by the Owner-contracted design authority or other agency, responsible for issuing design drawings, specifications, or otherdocuments. Evaluation An engineering review of an existing safety related concrete structure with the purpose of determining physical condition and functionality. This review may include analysis, conditionsurveys, maintenance, testing, and repair. Jacking force--In prestressed concrete, temporary force exerted by device that introduces tension into prestressing tendons. Load, dead- Dead weightsupported by a member (without load factors). Load, factored- Load, multiplied by appropriate load factors, used to proportion members by the strength design method ofthis code. See 8.1 and9.2. Load, live-Live load specified by the Engineer (without load factors). Load, sustainedDead load and the portions of other normal loads in 9.1.1 which are expected to act for a sufficient period oftime t0 cause time-dependenteffects. Massive concrete--Mass of concrete of sufficient dimensions to produce excessive temperatures due t0 heat ofhydration unless special precautions are taken regarding concrete placement temperatures, placing rate, or heat removal. Portionsofthe structureto be treated as massive concrete shall be so identified on the design drawings or specifications. Modulus of elasticity Ratio of normal stress to corresponding strain for tensile or compressive stresses below proportional limit of material. See 8.5. Operating basis earthquake The operating basis earthquake (OBE) forareactor site is that which produces theVibratory ground motion for which those features of the nuclear plant necessary for continued operation without unduerisk tothe healthand safetyofthepublic aredesigned10 remain functional. Operating basis wind-Wind velocities and forces required for the design of a structure in accordance with ASCE 7-93 fora 100 year recurrence interval. Power /5952189001 Owner-TThe organization responsible for the operation, maintenance, safety, and power generation of the nuclear power plant. PedestalUpright compression member with a ratio of unsupported height to average least lateral dimension ofless than 3. Plain concrete Concrete that does not conform to definition ofreinforced concrete. Plainreinforcement. Reinforcementthatdoesnot conform to definition ofdeformed reinforcement. See 3.5.4. Post-tensioning Method of prestressing in which tendons are tensioned afterconcrete has hardened. Precast concretePlainorreinforced concreteelement cast elsewhere than its final position in thestructure. Prestressed concrete Reinforced concrete in which internal stresses have been introduced to reduce potential tensile stresses in concrete resultingfrom loads. Pretensioning Method of prestressing in which tendons aretensioned before concrete is placed. Regulatory Authority The governmental agency or agencies having legal jurisdiction over the design, construction, and operation ofnuclear power generating stations to assure public health and safety. Reinforced concreteConcrete containing adequate reinforcement, prestressed or nonprestressed, and designed on theassumptionthatthetwo materials acttogether mresisting forces. ReinforcementMaterial that conforms to 3.5, excluding prestressingtendonsunless specifically included. Safe shutdown earthquake -A safe shutdown earthquake (SSE) for a reactor site is that which producesthe maximum vibratory ground motion for which those features ofthe nuclear power plant necessary to shut down the reactor and maintain theplant inasafe shut down condition without undue risk to the health andsafety ofthe public are designed to remain functional. Shrinkage ·Time-temperature-humidity dependent volume reduction of concrete as a result of hydration, moisture migration, anddryingprocess. Span length See 8.7. Spiral reinforcement Continuously wound reinforcement in the form ofacylindrical helix. Stirrup Reinforcement used to resist shear and torsion stresses in a structural member, typically bars, wires, or welded wire fabric (plain or deformed) bent into U, or rectangular shapes and located perpendicular to or atan angle to longitudinal reinforcement. (The term ""stirrups"" is usuallyappliedto lateral reinforcementin flexural members and the term ""ties"" to those in compression members.) See also Tie. Strength, design- -Nominal strength multiplied by a strength reduction factor 0. See9.3. Strength, nominalStrength ofa member or cross section calculated in accordance with provisionsandassumptions of thestrength design method ofthis codebefore application of any strength reduction factors. See 9.3.1. Strength, required- Strength ofa member or cross section required toresist factored loads or related internal moments and forces in such combinations as are stipulated in this code. See9.1.1. Stress- Intensity of force per unit area. Stress relaxation--A phenomenon in which loss of stress occurs when a constant strain is maintained at a constant temperature. Tendon--Steel element such as wire, cable, bar, rod, or strand, orabundleofsuchelements, usedto impartprestress to concrete. Tie-Loop of reinforcing bar or wire enclosing longitudinal reinforcement. See also Stirrup. Transfer--Actoftransferring stress in prestressing tendons fromjacksor pretensioning bed to concrete member. Unbonded tendons-Tendons in which the prestressing steel is permanently free tomove relative tothe surrounding concretetowhich they areapplying their prestressing forces. Wall--Member,usually vertical, used to encloseorseparate spaces. Wobble,friction--In prestressed concrete, friction caused by unintended deviation of prestressing sheath or duct from its specifiedprofile. Yield strength. Specified minimum yieldstrength or yield point of reinforcement in pounds per square inch. Yield strength oryieldpointis determined in tenston according to applicable ASTM specifications as modified by3.5 of this Code. ",ACI_349_97 ,PART 1 -GENERAL,Chapter 2 - Definitions,2.1,,,,,,,13
,ACI_349_97 ,PART 2 -STANDARDS FOR TESTS AND MATERIALS,,,,,,,,,14
,ACI_349_97 ,PART 2 -STANDARDS FOR TESTS AND MATERIALS,Chapter 3 -Materials,,,,,,,,15
#NAME?,ACI_349_97 ,PART 2 -STANDARDS FOR TESTS AND MATERIALS,Chapter 3 -Materials,3,,,,,,,16
,ACI_349_97 ,PART 2 -STANDARDS FOR TESTS AND MATERIALS,Chapter 3 -Materials,3.1 --Tests of materials,,,,,,,17
 TheOwnershall have therightto order testingofany materials used inconcrete construction todetermine materials are ofquality specified. ,ACI_349_97 ,PART 2 -STANDARDS FOR TESTS AND MATERIALS,Chapter 3 -Materials,3.1 --Tests of materials,3.1.1,,,,,,18
 Tests of materials and of concrete shall be made in accordance with standards listed in 3.8. ,ACI_349_97 ,PART 2 -STANDARDS FOR TESTS AND MATERIALS,Chapter 3 -Materials,3.1 --Tests of materials,3.1.2,,,,,,19
 A complete record of tests of materials and of concrete shall be available for inspection as required by Section 1.3.2 ,ACI_349_97 ,PART 2 -STANDARDS FOR TESTS AND MATERIALS,Chapter 3 -Materials,3.1 --Tests of materials,3.1.3,,,,,,20
,ACI_349_97 ,PART 2 -STANDARDS FOR TESTS AND MATERIALS,Chapter 3 -Materials,3.2  Cements,,,,,,,21
" Cementshall conform to one ofthe followingspecifications for portland cement: a) ""Specification for Portland Cement"" (ASTMC 150). b) ""Specification for Blended Hydraulic Cements"" (ASTMC 595), excluding Types S and SA which are not intended as principal cementing constituents of structural concrete. ",ACI_349_97 ,PART 2 -STANDARDS FOR TESTS AND MATERIALS,Chapter 3 -Materials,3.2  Cements,3.2.1,,,,,,22
 Cement used in the work shall correspond to that on which selection of concrete proportions was based. See5.2. ,ACI_349_97 ,PART 2 -STANDARDS FOR TESTS AND MATERIALS,Chapter 3 -Materials,3.2  Cements,3.2.2,,,,,,23
" Everyshipment ofcement shall be accompaniedby a certified mill test report stating the results of tests representing the cement in shipment and the ASTM specification limits foreachitem ofrequired chemical, physical, and optional characteristics. No cement shall be used in any structural concrete prior to receipt of 7 day mill test strengths. ",ACI_349_97 ,PART 2 -STANDARDS FOR TESTS AND MATERIALS,Chapter 3 -Materials,3.2  Cements,3.2.3,,,,,,24
,ACI_349_97 ,PART 2 -STANDARDS FOR TESTS AND MATERIALS,Chapter 3 -Materials,3.3 -Aggregates,,,,,,,25
" Concrete aggregatesshall conformtoone ofthe following specifications: a) ""SSpecificationforConcrete Aggregates""(ASTMC33). b) ""Specification for Aggregates for Radiation-Shielding Concrete"" (ASTMC 637). ",ACI_349_97 ,PART 2 -STANDARDS FOR TESTS AND MATERIALS,Chapter 3 -Materials,3.3 -Aggregates,3.3.1,,,,,,26
 Aggregates failing to meet ASTMC 33 but which have been shown by special testor actual service to produce concrete ofadequate strength and durability may be used for normal weightconcrete where authorized by the Engineer. ,ACI_349_97 ,PART 2 -STANDARDS FOR TESTS AND MATERIALS,Chapter 3 -Materials,3.3 -Aggregates,3.3.2,,,,,,27
" Nominal maximum sizeof coarseaggregate shallnot be larger than: a) / the narrowestdimension betweensides offorms, nor b) 17 the depth ofslabs, nor c) 3/4 the minimum clear spacing between individual reinforcing bars or wires, bundles of bars, or prestressing tendons or ducts. These limitations may be waived if, in the judgment ofthe Engineer, workabilityand methods ofconsolidation are such that concrete can be placed withouthoneycomb orvoids. ",ACI_349_97 ,PART 2 -STANDARDS FOR TESTS AND MATERIALS,Chapter 3 -Materials,3.3 -Aggregates,3.3.3,,,,,,28
,ACI_349_97 ,PART 2 -STANDARDS FOR TESTS AND MATERIALS,Chapter 3 -Materials,3.3 -Aggregates,3.3.4 -Testing requirements,,,,,,29
" Tests forfull conformancewith the appropriate specification, including tests for potential reactivity, shall be performed prior to usage in construction unless such tests are specifically exempted by the specifications as not being applicable. ",ACI_349_97 ,PART 2 -STANDARDS FOR TESTS AND MATERIALS,Chapter 3 -Materials,3.3 -Aggregates,3.3.4 -Testing requirements,3.3.4.1,,,,,30
" A daily inspection control program shall be carried out during concrete production to determine and control consistency in potentially variable characteristics such as water content, gradation, and material finer than No. 200 sieve. ",ACI_349_97 ,PART 2 -STANDARDS FOR TESTS AND MATERIALS,Chapter 3 -Materials,3.3 -Aggregates,3.3.4 -Testing requirements,3.3.4.2,,,,,31
" Tests for conformance with ASTM C131, ASTM C289, and ASTM C88 shall be repeated whenever there is reason to suspect a change in the basic geology or mineralogy ofthe aggregates. ",ACI_349_97 ,PART 2 -STANDARDS FOR TESTS AND MATERIALS,Chapter 3 -Materials,3.3 -Aggregates,3.3.4 -Testing requirements,3.3.4.3,,,,,32
,ACI_349_97 ,PART 2 -STANDARDS FOR TESTS AND MATERIALS,Chapter 3 -Materials,3.4 -Water,,,,,,,33
" Water used in mixing concrete shall be clean and free from injurious amounts of oils, acids, alkalis, salts, organicmaterials, or othersubstancesthat may bedeleterious to concrete orreinforcement. ",ACI_349_97 ,PART 2 -STANDARDS FOR TESTS AND MATERIALS,Chapter 3 -Materials,3.4 -Water,3.4.1,,,,,,34
" Mixing water for prestressed concrete or for concrete that will contain aluminum embedments, including that portion of mixing water contributed in the form of free moisture on aggregates, shall not contain deleterious amounts ofchloride 10n. See 4.3.1. ",ACI_349_97 ,PART 2 -STANDARDS FOR TESTS AND MATERIALS,Chapter 3 -Materials,3.4 -Water,3.4.2,,,,,,35
" Nonpotable water shall not be used in concrete unless the following are satisfied: a) Selection of concrete proportions shall be based on concrete mixes using water from the same source. b) Mortar test cubes made with nonpotable mixing water shall have 7-day and 28-day strengths equal t0 at least 90 percent of strengths of similar specimens made with potable water. Strength test comparison shall be made on mortars, identical except for the mixing water, prepared and tested in accordance with ""Method ofTestforCompressive Strength of Hydraulic Cement Mortars (Using 2-inch or50-mm Cube Specimens)""(ASTMC 109). ",ACI_349_97 ,PART 2 -STANDARDS FOR TESTS AND MATERIALS,Chapter 3 -Materials,3.4 -Water,3.4.3,,,,,,36
,ACI_349_97 ,PART 2 -STANDARDS FOR TESTS AND MATERIALS,Chapter 3 -Materials,3.5 - Metal reinforcement,,,,,,,37
" Reinforcementshall bedeformed reinforcement,except that plain reinforcement may be used for spiralsor tendons; and reinforcement consisting of structural steel, steel pipe, or steel tubing shall be permitted as specified in this code. ",ACI_349_97 ,PART 2 -STANDARDS FOR TESTS AND MATERIALS,Chapter 3 -Materials,3.5 - Metal reinforcement,3.5.1,,,,,,38
" Reinforcementto be welded shall be indicated onthe drawings, and weldingprocedure to be used shall be specified. ASTMsteelspecifications,exceptforASTMA706, shall be supplementedto require areport ofmaterial properties necessary to conform to weldingprocedures specified in ""Structural Welding Code- Reinforcing Steel"" (ANSIAWSD1.4) ofthe American Welding Society. ",ACI_349_97 ,PART 2 -STANDARDS FOR TESTS AND MATERIALS,Chapter 3 -Materials,3.5 - Metal reinforcement,3.5.2,,,,,,39
,ACI_349_97 ,PART 2 -STANDARDS FOR TESTS AND MATERIALS,Chapter 3 -Materials,3.5 - Metal reinforcement,3.5.3  Deformed reinforcement,,,,,,40
" Deformed reinforcing bars shall conform to one of the following specifications: a) ""Specification for Deformed and Plain Billet-Steel Bars for Concrete Reinforcement"" (ASTMA615). b) ""Specification for Low-Alloy Steel Deformed Bars for Concrete Reinforcement""(ASTM A706).  ",ACI_349_97 ,PART 2 -STANDARDS FOR TESTS AND MATERIALS,Chapter 3 -Materials,3.5 - Metal reinforcement,3.5.3  Deformed reinforcement,3.5.3.1,,,,,41
 A minimum ofone tensile test shall be required foreach50 tons ofeach bar size produced from each heatof steel. ,ACI_349_97 ,PART 2 -STANDARDS FOR TESTS AND MATERIALS,Chapter 3 -Materials,3.5 - Metal reinforcement,3.5.3  Deformed reinforcement,3.5.3.2,,,,,42
" Specified yield strengthf. for deformed reinforcing bars shall notexceed60,000 ps1. ",ACI_349_97 ,PART 2 -STANDARDS FOR TESTS AND MATERIALS,Chapter 3 -Materials,3.5 - Metal reinforcement,3.5.3  Deformed reinforcement,3.5.3.3,,,,,43
" Bar mats for concrete reinforcement shall conform 10 ""Specification for Fabricated Deformed Steel Bar Mats for Concrete Reinforcement"" (ASTM A184). Reinforcement used in bar matsshall conform to oneofthe specifications listed in 3.5.3.1. ",ACI_349_97 ,PART 2 -STANDARDS FOR TESTS AND MATERIALS,Chapter 3 -Materials,3.5 - Metal reinforcement,3.5.3  Deformed reinforcement,3.5.3.4,,,,,44
" Deformed wire for concrete reinforcement shall conform to ""Specification for Deformed Steel Wire for Concrete Reinforcement""(ASTM A496), except that wire shall not be smaller than sizeD4. ",ACI_349_97 ,PART 2 -STANDARDS FOR TESTS AND MATERIALS,Chapter 3 -Materials,3.5 - Metal reinforcement,3.5.3  Deformed reinforcement,3.5.3.5,,,,,45
" Welded plain wire fabric forconcrete reinforcement shall conform to ""Specification for Welded SteelWire Fabric for Concrete Reinforcement""(ASTMA185). Welded intersections shall not be spaced farther apart than 12in. in direction ofcalculated stress, except for wire fabric used as stirrups in accordance with 12.13.2. ",ACI_349_97 ,PART 2 -STANDARDS FOR TESTS AND MATERIALS,Chapter 3 -Materials,3.5 - Metal reinforcement,3.5.3  Deformed reinforcement,3.5.3.6,,,,,46
" Welded deformed wire fabric for concrete reinforcement shall conform to ""Specification for Welded Deformed Steel Wire Fabric for Concrete Reinforcement"" (ASTM A 497). Welded intersections shall not be spaced farther apart than 16 in. in direction of calculated stress, except for wire fabric used as stirrups in accordance with 12.13.2. ",ACI_349_97 ,PART 2 -STANDARDS FOR TESTS AND MATERIALS,Chapter 3 -Materials,3.5 - Metal reinforcement,3.5.3  Deformed reinforcement,3.5.3.7,,,,,47
" Epoxy-coated reinforcing bars shall comply with ""Specification for Epoxy Coated Reinforcing Steel Bars (ASTM A775). The Engineer shall evaluate the suitability of coated reinforcing steel for the expected service environment in each application. Epoxy-coated reinforcing steel shall also conform to one ofthe specifications listed in 3.5.3.1, ",ACI_349_97 ,PART 2 -STANDARDS FOR TESTS AND MATERIALS,Chapter 3 -Materials,3.5 - Metal reinforcement,3.5.3  Deformed reinforcement,3.5.3.8,,,,,48
,ACI_349_97 ,PART 2 -STANDARDS FOR TESTS AND MATERIALS,Chapter 3 -Materials,3.5 - Metal reinforcement,3.5.4 -Plain reinforcement,,,,,,49
 Plain bars for spiral reinforcementshallconform to the specification listed in 3.5.3.1(a) including additional requirements of3.5.3.2 ,ACI_349_97 ,PART 2 -STANDARDS FOR TESTS AND MATERIALS,Chapter 3 -Materials,3.5 - Metal reinforcement,3.5.4 -Plain reinforcement,3.5.4.1,,,,,50
" Smooth wire for spiral reinforcement shall conform to ""Specification for Cold-Drawn Steel Wire for Concrete Reinforcement"" (ASTM A82). 3.5.5 Prestressing tendons ",ACI_349_97 ,PART 2 -STANDARDS FOR TESTS AND MATERIALS,Chapter 3 -Materials,3.5 - Metal reinforcement,3.5.4 -Plain reinforcement,3.5.4.2,,,,,51
" Wire, strands, and bars for tendons in prestressed concrete shall conform to one of the following specifications: a) Wire conforming to ""Specification for Uncoated StressRelievedWirefor Prestressed Concrete"" (ASTMA421). b) Low-relaxation wire conforming to ""Specification for Uncoated Stress-Relieved Steel Wire for Prestressed Concrete"" including Supplement ""Low-Relaxation c) Strand conforming to ""Specification for Uncoated Seven-Wire Stress-Relieved Strand for Prestressed Concrete"" (ASTMA 416). d) Bars conforming to ""Specification for Uncoated HighStrengthSteel BarforPrestressingConcrete""(ASTMA772). ",ACI_349_97 ,PART 2 -STANDARDS FOR TESTS AND MATERIALS,Chapter 3 -Materials,3.5 - Metal reinforcement,3.5.4 -Plain reinforcement,3.5.5.1,,,,,52
" Wire,strands, and bars not specifically listed in ASTMA 421, A416, orA 722 are permitted provided they conform to minimum requirements of these specifications and do not have properties that make them less satisfactory than those listed inASTM A 421,A416, orA722. 3.5.6 -Structural steel, steel pipe, or tubing ",ACI_349_97 ,PART 2 -STANDARDS FOR TESTS AND MATERIALS,Chapter 3 -Materials,3.5 - Metal reinforcement,3.5.4 -Plain reinforcement,3.5.5.2,,,,,53
" Structural steel used with reinforcing bars in composite compression members meeting requirements of 10.14.7 or 10.14.8 shall conform to one of the following specifications: a) ""Specification for Structural Steel""(ASTM A36). b) ""Specification for High-Strength Low-Alloy Structural Steel""(ASTM A242). c) ""Specification forHigh-StrengthLow-Alloy ColumbiumVanadium Steels ofStructural Quality"" (ASTM A572). d) ""Specification for High-Strength Low-Alloy Structural Steel with 50,000 psi Minimum Yield Point to 4 in. Thick""(ASTM A588). ",ACI_349_97 ,PART 2 -STANDARDS FOR TESTS AND MATERIALS,Chapter 3 -Materials,3.5 - Metal reinforcement,3.5.4 -Plain reinforcement,3.5.6.1,,,,,54
" Steel pipe or tubing for composite compression members composed ofa steel encased concretecoremeeting requirements of 10.14.6 shall conform to one of the followingspecifications: a) Grade B of ""Specification for Pipe, Steel, Black and Hot-Dipped, Zinc-Coated, Welded and Seamless' (ASTM A.53). b) ""Specification for Cold-Formed Welded and Seamless Carbon Steel Structural Tubing in Rounds and Shapes"" (ASTM A500). c) ""Specification for Hot-Formed Welded and Seamless Carbon Steel Structural Tubing""(ASTM A.501). ",ACI_349_97 ,PART 2 -STANDARDS FOR TESTS AND MATERIALS,Chapter 3 -Materials,3.5 - Metal reinforcement,3.5.4 -Plain reinforcement,3.5.6.2,,,,,55
,ACI_349_97 ,PART 2 -STANDARDS FOR TESTS AND MATERIALS,Chapter 3 -Materials,3.6 -Admixtures,,,,,,,56
 Admixtures to be used in concrete shall be subjectt0 priorapproval by the Engineer. ,ACI_349_97 ,PART 2 -STANDARDS FOR TESTS AND MATERIALS,Chapter 3 -Materials,3.6 -Admixtures,3.6.1,,,,,,57
 An admixture shall be shown capableofmaintaining essentially the same composition and performance throughoutthe workasthe productusedin establishingconcreteproportions in accordance with5.2. ,ACI_349_97 ,PART 2 -STANDARDS FOR TESTS AND MATERIALS,Chapter 3 -Materials,3.6 -Admixtures,3.6.2,,,,,,58
" Calcium chloride or admixtures containing chloride from other than impurities from admixture ingredients shall not be used in prestressed concrete, in concrete containing embedded aluminum, or in concrete cast against stay-inplace galvanized metal forms. See4.2.2 and 4.3.1. ",ACI_349_97 ,PART 2 -STANDARDS FOR TESTS AND MATERIALS,Chapter 3 -Materials,3.6 -Admixtures,3.6.3,,,,,,59
" Air-entraining admixtures shall conform10 ""Specification for Air-Entraining Admixtures for Concrete"" (ASTMC260). ",ACI_349_97 ,PART 2 -STANDARDS FOR TESTS AND MATERIALS,Chapter 3 -Materials,3.6 -Admixtures,3.6.4,,,,,,60
" Water-reducing admixtures, retarding admixtures, accelerating admixtures, water-reducing and retarding admixtures, and water-reducing and accelerating admixtures shall conform to ""Specification for Chemical Admixtures for Concrete"" (ASTM C 494) or ""Specification for Chemical Admixtures for Use in Producing Flowing Concrete"" (ASTMC1017). ",ACI_349_97 ,PART 2 -STANDARDS FOR TESTS AND MATERIALS,Chapter 3 -Materials,3.6 -Admixtures,3.6.5,,,,,,61
" Fly ashor other pozzolans used as admixtures shall A497-90a conformto ""Specification forFly Ash and Raw or Calcined Natural Pozzolans for Usein Portland Cement Concrete"" A 500-90 (ASTM C618). ",ACI_349_97 ,PART 2 -STANDARDS FOR TESTS AND MATERIALS,Chapter 3 -Materials,3.6 -Admixtures,3.6.6,,,,,,62
,ACI_349_97 ,PART 2 -STANDARDS FOR TESTS AND MATERIALS,Chapter 3 -Materials,3.6 -Admixtures,3.6.7 -Testing,,,,,,63
 Tests for compliance with the specification for A501-89 each admixture shall be required prior to initial shipment A572/ and acceptance on site for usage in construction. A572M-88 Columbium-Vanadium Steelsof ,ACI_349_97 ,PART 2 -STANDARDS FOR TESTS AND MATERIALS,Chapter 3 -Materials,3.6 -Admixtures,3.6.7 -Testing,3.6.7.1,,,,,64
 An infrared spectrum trace of the conformance test sample of air-entraining and water-reducing admixture A 588/ shall be furnished with the conformance test results. A588-88 ,ACI_349_97 ,PART 2 -STANDARDS FOR TESTS AND MATERIALS,Chapter 3 -Materials,3.6 -Admixtures,3.6.7 -Testing,3.6.7.2,,,,,65
,ACI_349_97 ,PART 2 -STANDARDS FOR TESTS AND MATERIALS,Chapter 3 -Materials,3.7 - Storage and identification of materials A 615-90,,,,,,,66
" Measures shall be established to provide for storage of all materials so as to prevent damage or deterioration. A706/ A706M-90 Deformed Bars for Concrete Reinforcement When necessary for particular products, specialprotective environments such as inert gas atmosphere, specific moisA 722-90 ture content levels, and control temperatures shall be proC31-90 vided. Allstored materialsshall beproperly tagged or labeled to C33-90 permit identification. 3.7.2 Cementitious materials and aggregate shall be C39-86 stored in such a manneras to preventdeteriorationorintrusion of foreign matter. C42-87 3.7.3 Reinforcing material shall bestored in such a manner as to permit inventory control and to precludedamage C88-76 or degradation of properties to less than ASTM Reinforcement requirements. Reinforcing steel, by groups of bars or shipments, shall C94-90 be identifiable by documentation, tags, or other means of C 109-88 control, to a specific heat number or heat code until review ofthe Material Test Report has been performed. 3.7.4 Prestressing system materials shall be stored in C 131-81 sucha manneras to insure traceability to the Material Test Reportduring production and while in transit and storage. C 144-89 ",ACI_349_97 ,PART 2 -STANDARDS FOR TESTS AND MATERIALS,Chapter 3 -Materials,3.7 - Storage and identification of materials A 615-90,3.7.1,,,,,,67
,ACI_349_97 ,PART 2 -STANDARDS FOR TESTS AND MATERIALS,Chapter 3 -Materials,3.8  Standards cited inthis Code,,,,,,,68
