doc_content,doc_section,content_root1,content_root2,content_root3,content_root4,content_chapter,doc_title,doc_index,doc_order
 Sizeand location ofallstructural elementsand reinforcement; ,(e),"1.2 -Drawings, specifications, and calculations",1.2.1,(e),,CHAPTER 1 -GENERAL REQUIREMENTS,,,20
" Provision for dimensional changes resulting from creep, shrinkage, and temperature; ",(f),"1.2 -Drawings, specifications, and calculations",1.2.1,(f),,CHAPTER 1 -GENERAL REQUIREMENTS,,,21
 Magnitude and location of prestressing forces; ,(g),"1.2 -Drawings, specifications, and calculations",1.2.1,(g),,CHAPTER 1 -GENERAL REQUIREMENTS,,,22
 Anchorage length of reinforcement and location and length oflap splices; ,(h),"1.2 -Drawings, specifications, and calculations",1.2.1,(h),,CHAPTER 1 -GENERAL REQUIREMENTS,,,23
 Type and location of welded splices and mechanical connections ofreinforcement; and ,(i),"1.2 -Drawings, specifications, and calculations",1.2.1,(i),,CHAPTER 1 -GENERAL REQUIREMENTS,,,24
 Details and locations of all construction or isolation Joints. ,(j),"1.2 -Drawings, specifications, and calculations",1.2.1,(j),,CHAPTER 1 -GENERAL REQUIREMENTS,,,25
" Calculations pertinent to the design and the basis of design(including the results ofmodel analysis, ifany)shall be retained by the Owner orhisor her designee, as a permanent record for the life of the structure. Accompanying these calculations shall be a statement of the applicable design and analysis methods. When computer programs are used, design assumptions and identified inputand output data may be retained in lieu of calculations. Model analysis shall be permitted to supplement calculations. ",1.2.2,"1.2 -Drawings, specifications, and calculations",1.2.2,,,CHAPTER 1 -GENERAL REQUIREMENTS,,,26
,1.3 -Inspection and record keeping,1.3 -Inspection and record keeping,,,,CHAPTER 1 -GENERAL REQUIREMENTS,,,27
" The Owner is responsible for the inspection of concrete construction throughout all work stages. The Owner shall require compliance with design drawingsand specifications. The Owner shall also keep records required for quality assuranceand traceability of construction, fabrication, material procurement, manufacture, or installation. ",1.3.1,1.3 -Inspection and record keeping,1.3.1,,,CHAPTER 1 -GENERAL REQUIREMENTS,,,28
"The Owner shall be responsible for designating the records to be maintained and theduration ofretention. Records pertinentto plant modifications or revisions, in-service inspections, and durability and performance of structures shall be maintained for the life ofthe plant The Owner shall be responsible for continued maintenance ofthe records. Therecords shall be maintained at the power plant site, orat other locations as determined by the Owner. As a minimum, the following installation/construction records shall be considered for lifetime retention:",1.3.2  ,1.3 -Inspection and record keeping,1.3.2  ,,,CHAPTER 1 -GENERAL REQUIREMENTS,,,29
 Check-offsheets for tendon and reinforcing steel installation; ,(a),1.3 -Inspection and record keeping,1.3.2  ,(a),,CHAPTER 1 -GENERAL REQUIREMENTS,,,30
 Concrete cylinder test reports and charts; Hydro& Nuclea PowerCo )/5952189001 Jongmy ,(b),1.3 -Inspection and record keeping,1.3.2,(b),,CHAPTER 1 -GENERAL REQUIREMENTS,,,31
 Concrete design mix reports; ,(c),1.3 -Inspection and record keeping,1.3.2,(c),,CHAPTER 1 -GENERAL REQUIREMENTS,,,32
 Concrete placement records; ,(d),1.3 -Inspection and record keeping,1.3.2,(d),,CHAPTER 1 -GENERAL REQUIREMENTS,,,33
 Sequence of erection and connection of precast bers; ,(e),1.3 -Inspection and record keeping,1.3.2,(e),,CHAPTER 1 -GENERAL REQUIREMENTS,,,34
 Reports for construction and removal of forms and reshoring; ,(f),1.3 -Inspection and record keeping,1.3.2,(f),,CHAPTER 1 -GENERAL REQUIREMENTS,,,35
 Material property reports on reinforcingsteel; ,(g),1.3 -Inspection and record keeping,1.3.2,(g),,CHAPTER 1 -GENERAL REQUIREMENTS,,,36
 Material property reports on reinforcingsteel mechanical connection material; ,(h),1.3 -Inspection and record keeping,1.3.2,(h),,CHAPTER 1 -GENERAL REQUIREMENTS,,,37
 Material property reports on steel embedments in concrete; ,(i),1.3 -Inspection and record keeping,1.3.2,(i),,CHAPTER 1 -GENERAL REQUIREMENTS,,,38
 Material property reports on tendon and anchorage fabrication material and corrosion inhibitors; ,(j),1.3 -Inspection and record keeping,1.3.2,(j),,CHAPTER 1 -GENERAL REQUIREMENTS,,,39
 Reports for periodic tendon inspection; ,(k),1.3 -Inspection and record keeping,1.3.2,(k),,CHAPTER 1 -GENERAL REQUIREMENTS,,,40
 Tensioning ofprestressing tendons; and (m)Qualityand proportions ofconcrete materials. ,(l),1.3 -Inspection and record keeping,1.3.2,(l),,CHAPTER 1 -GENERAL REQUIREMENTS,,,41
"Approval ofspecial systems of design or construction  Sponsors ofany system ofdesign or construction within the scope ofthis Code, the adequacy ofwhich has been shown by successful use or by analysis OItest, but which does not conform to oris not covered by this Code, shall have the rightto present the data on which their design 1S based to the Regulatory Authority for review and approval. The Regulatory Authority may investigate the data so submitted, and may require tests and formulate rules governing the design and construction ofsuch systems tomeet the intent ofthis Code. ",1.4,1.4,,,,CHAPTER 1 -GENERAL REQUIREMENTS,,,42
"Quality assurance program  A quality assurance program covering nuclearsafety related structures shall be developed prior to starting any work. Thegeneral requirements and guidelines for establishing and executing the quality assurance program during thedesign and construction phases ofnuclear power generating stations are established by Title 10 ofthe Code ofFederal Regulations, Part 50 (10CFR50), Appendix B. ",1.5,1.5,,,,CHAPTER 1 -GENERAL REQUIREMENTS,,,43
,CHAPTER 2 -DEFINITIONS,,,,,CHAPTER 2 -DEFINITIONS,,,44
,PART2 -STANDARDS FOR TESTS AND MATERIALS,,,,,,,,45
,CHAPTER 3 -MATERIALS,,,,,CHAPTER 3 -MATERIALS,,,46
,3.1 -Tests of materials,3.1 -Tests of materials,,,,CHAPTER 3 -MATERIALS,,,47
 The Owner shall have therighttoorder testing ofany materialsused in concrete construction to determineifmaterialsare ofquality specified. ,3.1.1,3.1 -Tests of materials,3.1.1,,,CHAPTER 3 -MATERIALS,,,48
 Tests of materials and of concrete shall be made in accordance with standards listed in 3.8. ,3.1.2,3.1 -Tests of materials,3.1.2,,,CHAPTER 3 -MATERIALS,,,49
 A complete record of tests of materials and of concreteshall be available for inspection as required by 1.3.2. ,3.1.3,3.1 -Tests of materials,3.1.3,,,CHAPTER 3 -MATERIALS,,,50
,3.2 -Cements,3.2 -Cements,,,,CHAPTER 3 -MATERIALS,,,51
Cement shall conform to one ofthe followingspecifications for portland cement:,3.2.1  ,3.2 -Cements,3.2.1  ,,,CHAPTER 3 -MATERIALS,,,52
" Specification for Portland Cement"" (ASTM C 150); or ",(a),3.2 -Cements,3.2.1  ,(a),,CHAPTER 3 -MATERIALS,,,53
" ""Specification for Blended Hydraulic Cements"""" (ASTMC 595), excluding Types S and SA which not intended as principal cementing constituents of structural concrete; or ",(b),3.2 -Cements,3.2.1  ,(b),,CHAPTER 3 -MATERIALS,,,54
 Specification for Expansive Hydraulic Cement's (ASTMC845). ,(c),3.2 -Cements,3.2.1  ,(c),,CHAPTER 3 -MATERIALS,,,55
 Cement used in the work shall correspond to that on which selection ofconcrete proportions was based See 5.2 ,3.2.2,3.2 -Cements,3.2.2,,,CHAPTER 3 -MATERIALS,,,56
" Every shipment of cement shall be accompanied by a certified mill test report stating the results oftests representing the cement in shipment and the ASTM specification limits for each item of required chemical, physical, and optional characteristics. No cement shall be used in any structural concrete prior to receipt of 7 day mill test strengths. ",3.2.3,3.2 -Cements,3.2.3,,,CHAPTER 3 -MATERIALS,,,57
,3.3 -Aggregates,3.3 -Aggregates,,,,CHAPTER 3 -MATERIALS,,,58
Concrete aggregates shall conform to one ofthe following specifications:,3.3.1 ,3.3 -Aggregates,3.3.1 ,,,CHAPTER 3 -MATERIALS,,,59
" ""Specificationfor Concrete Aggregates""(ASTMC33); or ",(a),3.3 -Aggregates,3.3.1 ,(a),,CHAPTER 3 -MATERIALS,,,60
" ""Secification for Aggregates for Radiation-Shielding Concrete""(ASTMC637). Exception: Aggregates failingto meet ASTM C 33 but which have been shown by special test or actual service to produce concrete of adequate strength and durability shall be permitted to be used for normal-weight concrete where authorized by the engineer. ",(b),3.3 -Aggregates,3.3.1 ,(b),,CHAPTER 3 -MATERIALS,,,61
" Nominal maximum size ofcoarse aggregate shall not be larger than: (a) 1/5the narrowest dimension between sides offorms, nor (b) 1/3 the depth ofslabs, nor (c) 3/4 the minmmm clear spacing between individual reinforcing bars or wires, bundles ofbars, or prestressing These limitations may be waivedif, in the judgment ofthe engineer, workability, and methods ofconsolidation are such that concrete can be placed without honeycomb or voids  ",3.3.2,3.3 -Aggregates,3.3.2,,,CHAPTER 3 -MATERIALS,,,62
Testing requirements,3.3.3,3.3 -Aggregates,3.3.3,,,CHAPTER 3 -MATERIALS,,,63
" Tests for full conformance with the appropriate specification, including tests for potential reactivity, shall be performed prior to usage in construction unless such tests are specifically exempted by the specifications as not being applicable. ",3.3.3.1,3.3 -Aggregates,3.3.3,3.3.3.1,,CHAPTER 3 -MATERIALS,,,64
" A daily inspection control program shall be carried out during concrete production to determine and control consistency in potentially variable characteristics such as water content, gradation, and material finer than No. 200 sieve.  ",3.3.3.2,3.3 -Aggregates,3.3.3,3.3.3.2,,CHAPTER 3 -MATERIALS,,,65
" Tests for conformance with ASTM C131, ASTMC 289, and ASTM C 88 shall be repeated whenever there 1Sreason to suspect a changein the basic geology or mineralogy oftheaggregates. ",3.3.3.3,3.3 -Aggregates,3.3.3,3.3.3.3,,CHAPTER 3 -MATERIALS,,,66
,3.4 -Water are,3.4 -Water are,,,,CHAPTER 3 -MATERIALS,,,67
" Water used in mixing concrete shall beclean and free from injurious amounts ofoils, acids, alkalis, salts, organic materials, or other substances that may be deleterious to concrete or reinforcement. ",3.4.1,3.4 -Water are,3.4.1,,,CHAPTER 3 -MATERIALS,,,68
" Mixing water for prestressed concrete or for concrete that will contain aluminum embedments, including that portion ofmixing water contributed in the form offree moisture on aggregates, shall not contain deleterious amounts ofchloride10n. See4.3.1. ",3.4.2,3.4 -Water are,3.4.2,,,CHAPTER 3 -MATERIALS,,,69
Nonpotable water shall not be used in concrete unlessthe following are satisfied:,3.4.3,3.4 -Water are,3.4.3,,,CHAPTER 3 -MATERIALS,,,70
 Selection ofconcrete proportions shall be based on concrete mixes using waterfrom the same source. ,(a),3.4 -Water are,3.4.3,(a),,CHAPTER 3 -MATERIALS,,,71
" Mortar test cubes made with nonpotable mixing water shall have 7-day and 28-day strengthsequal toat least 90% ofstrengths ofsimilar specimens made with potable water. Strength test comparison shall be made on mortars, identical except for themixing water, prepared and tested maccordance with ""Methodof Test for Compressive Strength of Hydraulic Cement Mortars (Using2-inch or 50-mm Cube Specimens)"" (ASTM C 109). ",(b),3.4 -Water are,3.4.3,(b),,CHAPTER 3 -MATERIALS,,,72
,3.5 -Steel reinforcement,3.5 -Steel reinforcement,,,,CHAPTER 3 -MATERIALS,,,73
" Reinforcementshall be deformed reinforcement, except that plain reinforcement may be used forspirals or tendons; and reinforcementconsisting ofstructural steel, steel pipe, or steel tubingshall be permitted as specified in this code. ",3.5.1,3.5 -Steel reinforcement,3.5.1,,,CHAPTER 3 -MATERIALS,,,74
" Welding of reinforcing bars shall conform to""Structural Welding Code Reinforcing Steel, * ANSI/AWS D1.4 of the American Welding Society. Typeand location of welded splices and other required welding ofreinforcing bars shall be indicated on the design drawings or in the projects pecifications. ASTM reinforcing bar specifications, except for ASTMA 706, shall be supplemented to requirea report of material properties necessary to conform to the requirements in ANSI/AWS D1.4.  ",3.5.2,3.5 -Steel reinforcement,3.5.2,,,CHAPTER 3 -MATERIALS,,,75
,3.5.3  Deformed reinforcement,3.5 -Steel reinforcement,3.5.3  Deformed reinforcement,,,CHAPTER 3 -MATERIALS,,,76
 Deformed reinforcing bars shall conform to one ofthe following specifications:,3.5.3.1 ,3.5 -Steel reinforcement,3.5.3  Deformed reinforcement,3.5.3.1 ,,CHAPTER 3 -MATERIALS,,,77
,"(a)  ""Specification for Deformed and Plain Billet-Steel Bars for Concrete Reinforcement"" (ASTM A615). ",3.5 -Steel reinforcement,3.5.3  Deformed reinforcement,3.5.3.1 ,"(a)  ""Specification for Deformed and Plain Billet-Steel Bars for Concrete Reinforcement"" (ASTM A615). (b) ""占쏙옙Specification for Low-Alloy Steel Deformed Bars for Concrete Reinforcement"" (ASTM A706).",CHAPTER 3 -MATERIALS,,,78
,"(b) ""Specification for Low-Alloy Steel Deformed Bars for Concrete Reinforcement"" (ASTM A706).",3.5 -Steel reinforcement,3.5.3  Deformed reinforcement,3.5.3.1 ,,CHAPTER 3 -MATERIALS,,,79
 A minimum ofone tensile test shall be required for each 50 tons of each bar size produced from each heat ofsteel. ,,3.5 -Steel reinforcement,3.5.3  Deformed reinforcement,3.5.3.1 ,3.5.3.1.1,CHAPTER 3 -MATERIALS,,,80
" Specified yieldstrengthfy for deformed reinforcing bars shall not exceed 60,000 psi. ",3.5.3.2,3.5 -Steel reinforcement,3.5.3  Deformed reinforcement,3.5.3.2,,CHAPTER 3 -MATERIALS,,,81
" Bar mats for concrete reinforcement shall conform to ""Specification for Fabricated Deformed Steel Bar Mats for Concrete Reinforcement"" (ASTM A 184). Reinforcement used in bar mats shall conform to one ofthe specifications listed in 3.5.3.1 ",3.5.3.3,3.5 -Steel reinforcement,3.5.3  Deformed reinforcement,3.5.3.3,,CHAPTER 3 -MATERIALS,,,82
" Deformed wire for concrete reinforcement shall conform to ""Specification for Deformed Steel Wire for Concrete Reinforcement""(ASTM A496), except that wire shall not be smaller than sizeD4 ",3.5.3.4,3.5 -Steel reinforcement,3.5.3  Deformed reinforcement,3.5.3.4,,CHAPTER 3 -MATERIALS,,,83
" Welded plain wire fabric for concrete reinforcement shall conform to ""SSpecification for Welded Steel Wire Fabric for Concrete Reinforcement"" (ASTM A 185). Welded intersections shall not be spaced farther apartthan 12 in. in direction of calculated stress, except for wire fabric used as stirrups in accordance with 12.13.2. ",3.5.3.5,3.5 -Steel reinforcement,3.5.3  Deformed reinforcement,3.5.3.5,,CHAPTER 3 -MATERIALS,,,84
" Welded deformed wire fabric for concrete reinforcement shall conform to ""Specification for Welded Deformed Steel Wire Fabric for Concrete Reinforcement"" (ASTM A 497). Welded intersections shall not be spaced farther apart than 16 in. in direction of calculated stress, except for wire fabric used as stirrups in accordance with 12. 13.2. ",3.5.3.6,3.5 -Steel reinforcement,3.5.3  Deformed reinforcement,3.5.3.6,,CHAPTER 3 -MATERIALS,,,85
 (This section not used to maintain section number correspondence with ACI 318-95). ,3.5.3.7,3.5 -Steel reinforcement,3.5.3  Deformed reinforcement,3.5.3.7,,CHAPTER 3 -MATERIALS,,,86
" Epoxy-coated reinforcing bars shall comply with ""Specification for Epoxy Coated Reinforcing Steel Bars"" (ASTMA 775) or with ""Specification for EpoxyCoated Prefabricated Steel Reinforcing Bars (ASTM A 934). The engineer shall evaluate the suitability of coated reinforcing steel for the expected service environment in eachapplication. Epoxy-coated reinforcing steel shall also conform to one ofthe specifications listed in 3.5.3.1. ",3.5.3.8,3.5 -Steel reinforcement,3.5.3  Deformed reinforcement,3.5.3.8,,CHAPTER 3 -MATERIALS,,,87
,3.5.4 -Plain reinforcement,3.5 -Steel reinforcement,3.5.4 -Plain reinforcement,,,CHAPTER 3 -MATERIALS,,,88
 Plain bars for spiral reinforcement shall conform to the specification listed in 3.5.3.1(a) including additional requirements of3.5.3.1.1. ,3.5.4.1,3.5 -Steel reinforcement,3.5.4 -Plain reinforcement,3.5.4.1,,CHAPTER 3 -MATERIALS,,,89
" Smooth wire for spiral reinforcement shall conform to""Specification for Cold-Drawn Steel Wire for Concrete Reinforcement"" (ASTM A 82).  ",3.5.4.2,3.5 -Steel reinforcement,3.5.4 -Plain reinforcement,3.5.4.2,,CHAPTER 3 -MATERIALS,,,90
,3.5.5  -Prestressing tendons ,3.5 -Steel reinforcement,3.5.5  -Prestressing tendons ,,,CHAPTER 3 -MATERIALS,,,91
,3.5.5.1  Tendons for prestressed reinforcement shall conform to one ofthe following specifications:,3.5 -Steel reinforcement,3.5.5  -Prestressing tendons ,3.5.5.1  Tendons for prestressed reinforcement shall conform to one ofthe following specifications:,,CHAPTER 3 -MATERIALS,,,92
" Wire conforming to ""SSpecification for Uncoated Stress-Relieved Wire for Prestressed Concrete""'. (ASTMA 421). ",(a),3.5 -Steel reinforcement,3.5.5  -Prestressing tendons ,3.5.5.1  Tendons for prestressed reinforcement shall conform to one ofthe following specifications:,(a),CHAPTER 3 -MATERIALS,,,93
" Low-relaxation wire conforming to ""Specification for Uncoated Stress-Relieved Steel Wire for Prestressed Concrete"" including Supplement ""Low-Relaxation Wire"" (ASTM A 421). ",(b),3.5 -Steel reinforcement,3.5.5  -Prestressing tendons ,3.5.5.1  Tendons for prestressed reinforcement shall conform to one ofthe following specifications:,(b),CHAPTER 3 -MATERIALS,,,94
" Strand conforming to ""Specification for Uncoated Seven-Wire Stress-Relieved Strand for Prestressed Concrete' (ASTM A 416). ",(c),3.5 -Steel reinforcement,3.5.5  -Prestressing tendons ,3.5.5.1  Tendons for prestressed reinforcement shall conform to one ofthe following specifications:,(c),CHAPTER 3 -MATERIALS,,,95
" Bars conforming to ""SSpecification for Uncoated High Strength Steel Bar for Prestressing Concrete"" (ASTMA 722). ",(d),3.5 -Steel reinforcement,3.5.5  -Prestressing tendons ,3.5.5.1  Tendons for prestressed reinforcement shall conform to one ofthe following specifications:,(d),CHAPTER 3 -MATERIALS,,,96
" Wire,strands, and bars not specifically listed inASTM A 421,A416, orA 722 are permitted provided they conform to minimum requirements of these specifications and do not have properties that make them less satisfactory than those listed in ASTMA 421,A 416, or A 722  ",3.5.5.2,3.5 -Steel reinforcement,3.5.5  -Prestressing tendons ,3.5.5.2,,CHAPTER 3 -MATERIALS,,,97
,"3.5.6  Structural steel, steel pipe, or tubing",3.5 -Steel reinforcement,"3.5.6  Structural steel, steel pipe, or tubing",,,CHAPTER 3 -MATERIALS,,,98
Structural steel used with reinforcing bars in composite compression members meeting requirements of 10.14.7 or 10.14.8 shall conform to one ofthe following specifications: ,3.5.6.1,3.5 -Steel reinforcement,"3.5.6  Structural steel, steel pipe, or tubing",3.5.6.1,,CHAPTER 3 -MATERIALS,,,99
" ""Specification for Structural Steel"" (ASTMA 36).  ",(a),3.5 -Steel reinforcement,"3.5.6  Structural steel, steel pipe, or tubing",3.5.6.1,(a),CHAPTER 3 -MATERIALS,,,100
" ""Specification for High-Strength Low-Alloy Structural Steel"" (ASTMA 242). ",(b),3.5 -Steel reinforcement,"3.5.6  Structural steel, steel pipe, or tubing",3.5.6.1,(b),CHAPTER 3 -MATERIALS,,,101
" ""Specification for High-Strength Low-Alloy Columbium-Vanadium Steels ofStructural Quality (ASTMA572). (d) """"Specification for High-Strength Low-Alloy Structural Steel with 50 ksi Minimum Yield Point to4 in. Thick"" (ASTM A 588). ",(c),3.5 -Steel reinforcement,"3.5.6  Structural steel, steel pipe, or tubing",3.5.6.1,(c),CHAPTER 3 -MATERIALS,,,102
Steel pipe or tubingfor composite compression members composed ofa steel encased concrete cor e meeting requirements of 10.14.6 shall conform to one 0 f the following specifications:,3.5.6.2 ,3.5 -Steel reinforcement,"3.5.6  Structural steel, steel pipe, or tubing",3.5.6.2 ,,CHAPTER 3 -MATERIALS,,,103
" Grade B of ""Specification for Pipe, Steel, Black and Hot-Dipped, Zinc-Coated, Welded and Seamless (ASTM A53). ",(a),3.5 -Steel reinforcement,"3.5.6  Structural steel, steel pipe, or tubing",3.5.6.2 ,(a),CHAPTER 3 -MATERIALS,,,104
" ""Secification for Cold-Formed Welded and Seamless Carbon Steel Structural Tubing in Rounds and Shapes"" (ASTM A 500). ",(b),3.5 -Steel reinforcement,"3.5.6  Structural steel, steel pipe, or tubing",3.5.6.2 ,(b),CHAPTER 3 -MATERIALS,,,105
" ""Specification for Hot-Formed Welded and Seamless Carbon Steel Structural Tubing *(ASTM A501). ",(c),3.5 -Steel reinforcement,"3.5.6  Structural steel, steel pipe, or tubing",3.5.6.2 ,(c),CHAPTER 3 -MATERIALS,,,106
,3.6 -Admixtures,3.6 -Admixtures,,,,CHAPTER 3 -MATERIALS,,,107
 Admixtures to be used in concrete shall be subject to prior approval by the engineer. ,3.6.1,3.6 -Admixtures,3.6.1,,,CHAPTER 3 -MATERIALS,,,108
 An admixture shall be shown capable ofmaintaining essentially the same composition and performance throughout the work as the product used in establishing concrete proportions in accordance with 5.2 ,3.6.2,3.6 -Admixtures,3.6.2,,,CHAPTER 3 -MATERIALS,,,109
" Calcium chloride or admixtures containing chloride from other than impurities from admixture ingredients shall not be used in prestressed concrete, m concrete containing embedded aluminum, or in concrete cast against stay-in-place galvanized metal forms. See4.3.2and 4.4.1 ",3.6.3,3.6 -Admixtures,3.6.3,,,CHAPTER 3 -MATERIALS,,,110
" Air-entraining admixtures shall conform to ""Specification for Air-Entraining Admixtures for Concrete"" (ASTMC260). ",3.6.4,3.6 -Admixtures,3.6.4,,,CHAPTER 3 -MATERIALS,,,111
" Water-reducing admixtures, retarding admixtures, accelerating admixtures, water-reducing and retarding admixtures, and water-reducing and accelerating admixtures shall conform to ""Specification for Chemical Admixtures for Concrete"" (ASTM C 494) or ""Specification for Chemical Admixtures for Use in Producing Flowing Concrete""(ASTMC 1017). ",3.6.5,3.6 -Admixtures,3.6.5,,,CHAPTER 3 -MATERIALS,,,112
" Fly ash or other pozzolans used as admixtures shall conform to ""Specification for Fly Ash and Raw or Calcined NaturalPozzolans for Use in Portland Cement Concrete"" (ASTM C 618). ",3.6.6,3.6 -Admixtures,3.6.6,,,CHAPTER 3 -MATERIALS,,,113
" Ground-granulated blast-furnace slag used as an admixture shall conform to ""Specification for Ground Granulated Blast-FurnaceSlag for Use in Concrete and Mortars' (ASTM C 989).",3.6.7,3.6 -Admixtures,3.6.7,,,CHAPTER 3 -MATERIALS,,,114
 Admixtures used in concrete containing C845 expansive cements shall be compatible with the cement and produce no deleterious effects. ,3.6.8,3.6 -Admixtures,3.6.8,,,CHAPTER 3 -MATERIALS,,,115
" Silica fume used as an admixture shall conform to ""Specification for Silica Fume for Use in HydraulicCementConcrete and Mortar"" (ASTM C 1240). ",3.6.9,3.6 -Admixtures,3.6.9,,,CHAPTER 3 -MATERIALS,,,116
,3.6.10 -Testing,3.6 -Admixtures,3.6.10 -Testing,,,CHAPTER 3 -MATERIALS,,,117
 Tests for compliance with the specification for each admixture shall be required prior to initial shipment and acceptance on site for usage in construction. ,3.6.10.1,3.6 -Admixtures,3.6.10 -Testing,3.6.10.1,,CHAPTER 3 -MATERIALS,,,118
 An infrared spectrum trace of the conformance test sample ofair-entraining and water-reducing admixture shall be furnished with the conformance test results. ,3.6.10.2,3.6 -Admixtures,3.6.10 -Testing,3.6.10.2,,CHAPTER 3 -MATERIALS,,,119
,3.7 -Storage and identification of materials,3.7 -Storage and identification of materials,,,,CHAPTER 3 -MATERIALS,,,120
" Measures shall be established to provide for storage ofall materials so as to prevent damage or deterioration. When necessary for particular products, special protective environments such as inert gas atmosphere, specific moisture content levels, and control temperatures shall be provided. All stored materials shall be properly tagged or labeled to permit identification ",3.7.1,3.7 -Storage and identification of materials,3.7.1,,,CHAPTER 3 -MATERIALS,,,121
 Cementitious materials and aggregate shall be stored in such a manner as to prevent deterioration or intrusion of foreign matter. Any material that has deteriorated or has been contaminated shall not be used for concrete. ,3.7.2,3.7 -Storage and identification of materials,3.7.2,,,CHAPTER 3 -MATERIALS,,,122
" Reinforcing material shall be stored in such a manner as to permit inventory control and to preclude damage or degradation of properties to less than ASTM Reinforcement requirements. Reinforcing steel, by groups of bars or shipments, shall be identifiable by documentation, tags, or other means of control, to a specific heat number or heat code until review of the Certified Material Test Report has been performed. ",3.7.3,3.7 -Storage and identification of materials,3.7.3,,,CHAPTER 3 -MATERIALS,,,123
